Results will be saved to results.out
Random restart 1 of 5

FOR 2
66 2145
6 64 0.126928 0.126928 0.126928 0.693147
6 65 0.313262 0.313262 0.313262 0.048587
7 8 0.048587 0.048587 0.048587 0.313262
7 9 0.048587 0.048587 0.048587 0.313262
7 10 3.048587 3.048587 3.048587 1.313262
7 11 1.313262 1.313262 1.313262 0.313262
7 12 0.313262 0.313262 0.313262 1.313262
7 13 0.048587 0.048587 0.048587 0.313262
7 14 0.048587 0.048587 0.048587 0.313262
7 15 0.048587 0.048587 0.048587 0.313262
7 16 0.313262 0.313262 0.313262 1.313262
7 17 0.048587 0.048587 0.048587 0.313262
7 18 0.313262 0.313262 0.313262 1.313262
7 19 0.048587 0.048587 0.048587 0.313262
7 20 0.313262 0.313262 0.313262 1.313262
7 21 0.018150 0.018150 0.018150 0.126928
7 22 0.313262 0.313262 0.313262 1.313262
7 23 0.018150 0.018150 0.018150 0.126928
7 24 0.313262 0.313262 0.313262 1.313262
7 25 0.048587 0.048587 0.048587 0.313262
7 26 0.126928 0.126928 0.126928 2.126928
7 27 0.048587 0.048587 0.048587 0.313262
7 28 0.313262 0.313262 0.313262 1.313262
7 29 0.048587 0.048587 0.048587 0.313262
7 30 0.313262 0.313262 0.313262 1.313262
7 31 0.048587 0.048587 0.048587 0.313262
7 32 1.313262 1.313262 1.313262 0.313262
7 33 0.313262 0.313262 0.313262 1.313262
7 34 0.048587 0.048587 0.048587 0.313262
7 35 0.048587 0.048587 0.048587 0.313262
7 36 0.313262 0.313262 0.313262 1.313262
7 37 3.048587 3.048587 3.048587 1.313262
7 38 0.048587 0.048587 0.048587 0.313262
7 39 0.313262 0.313262 0.313262 1.313262
7 40 0.018150 0.018150 0.018150 0.126928
7 41 0.313262 0.313262 0.313262 1.313262
7 42 0.048587 0.048587 0.048587 0.313262
7 43 0.048587 0.048587 0.048587 0.313262
7 44 0.313262 0.313262 0.313262 1.313262
7 45 0.006715 0.006715 0.006715 0.313262
7 46 1.313262 1.313262 1.313262 0.313262
7 47 0.313262 0.313262 0.313262 1.313262
7 48 0.048587 0.048587 0.048587 0.313262
7 49 0.048587 0.048587 0.048587 0.313262
7 50 1.313262 1.313262 1.313262 0.313262
7 51 0.313262 0.313262 0.313262 1.313262
7 52 0.048587 0.048587 0.048587 0.313262
7 53 3.048587 3.048587 3.048587 1.313262
7 54 0.313262 0.313262 0.313262 1.313262
7 55 0.313262 0.313262 0.313262 1.313262
7 56 0.313262 0.313262 0.313262 1.313262
7 57 0.048587 0.048587 0.048587 0.313262
7 58 0.313262 0.313262 0.313262 1.313262
7 59 0.313262 0.313262 0.313262 1.313262
7 60 0.048587 0.048587 0.048587 0.313262
7 61 3.048587 3.048587 3.048587 1.313262
7 62 0.313262 0.313262 0.313262 1.313262
7 63 0.048587 0.048587 0.048587 0.313262
7 64 0.126928 0.126928 0.126928 0.693147
